artist_id,artist_name,birth_year,death_year,nationality,gender,primary_medium,artist_website_url,bio_source_url,bio_confidence_score,gallery_name,gallery_city,gallery_country,gallery_tier,gallery_prestige_score,gallery_start_date,gallery_source_url,gallery_confidence_score,museum_name,museum_city,museum_country,museum_tier,museum_event_type,event_name,event_start_date,event_end_date,event_source_url,event_confidence_score,acquisition_date,acquisition_value_usd,acquisition_source_url,acquisition_confidence_score,art_fair_name,art_fair_date,art_fair_city,art_fair_country,art_fair_source_url,art_fair_confidence_score,auction_house,sale_name,lot_number,sale_date,work_title,work_medium,creation_year,estimate_low_usd,estimate_high_usd,price_usd,currency,auction_source_url,auction_confidence_score,press_outlet,article_title,article_author,publication_date,article_url,mention_count,sentiment_score,press_confidence_score,collector_name,collector_type,collector_source_url,collector_confidence_score,curator_name,curator_source_url,curator_confidence_score,notes
artist_pavlo_kerestey,Pavlo Kerestey,,,,,,,,,Voloshyn Gallery,Miami,United States,,,,,1,,,,,gallery_exhibition,Proxies,25/09/2025,25/10/2025,https://voloshyngallery.art/exhibitions/96-proxies/,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_pavlo_kerestey,Pavlo Kerestey,,,,,,,,,Voloshyn Gallery,Miami,United States,,,,,1,,,,,gallery_exhibition,Sentience,03/08/2024,03/09/2024,https://voloshyngallery.art/exhibitions/83-sentience/,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_pavlo_kerestey,Pavlo Kerestey,,,,,,,,,Voloshyn Gallery,Miami,United States,,,,,1,,,,,gallery_exhibition,"She Asked, I Followed. Her Name Is After",24/04/2022,15/05/2022,https://voloshyngallery.art/exhibitions/26-she-asked-i-followed.-her-name-is-after/,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_pavlo_kerestey,Pavlo Kerestey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CNN,Did a group of artist eerily predict the Ukrainian crisis?,Jake Wallis Simons,16/10/2014,https://edition.cnn.com/2014/10/16/world/did-group-of-artists-predict-ukrainian-crisis,1,0.7,1,,,,,,,,
artist_nikita_kadan,Nikita Kadan,1982,,Ukraine,male,,,https://voloshyngallery.art/artists/29-nikita-kadan/,1,Voloshyn Gallery,Kyiv,Ukraine,,,,https://voloshyngallery.art/contact/,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_nikita_kadan,Nikita Kadan,,,,,,,,,Voloshyn Gallery,Miami,United States,,,,,1,,,,,gallery_exhibition,"Who's There, Old Question, Who's There",17/01/2026,14/03/2026,https://voloshyngallery.art/exhibitions/101-whos-there-old-question-whos-here/,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_nikita_kadan,Nikita Kadan,,,,,,,,,Voloshyn Gallery,Kyiv,Ukraine,,,,,1,,,,,gallery_exhibition,Tryvoha,07/03/2025,27/04/2025,https://voloshyngallery.art/exhibitions/91-tryvoha/,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_nikita_kadan,Nikita Kadan,,,,,,,,,Voloshyn Gallery,Miami,Ukraine,,,,,1,,,,,gallery_exhibition,The Radical Bone,01/12/2024,25/02/2025,https://voloshyngallery.art/exhibitions/88-the-radial-bone/,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_nikita_kadan,Nikita Kadan,,,,,,,,,Voloshyn Gallery,New York,United States,,,,,1,,,,,gallery_exhibition,Avert Your Eyes,12/10/2024,10/12/2024,https://voloshyngallery.art/exhibitions/86-avert-your-eyes/,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
artist_nikita_kadan,Nikita Kadan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frieze,Nikita Kadan Questions Whether The War Ever Ends,Amina Ahmed,30/04/2026,https://www.frieze.com/article/nikita-kadan-a-new-integrity-2026-review,5,0.7,1,,,,,,,,
